frame_id,predict_steering_angle,steering_angle_change,seed,class
29391353.png,0.293810099363327,0.1988305300474167,1,0
29391354.png,0.29088819026947,0.23664528131484985,1,0
29391355.png,0.294260621070862,0.23052474856376648,1,0
29391356.png,0.217324703931808,0.273949533700943,1,0
29391357.png,0.308641910552979,0.2713521718978882,1,0
29391358.png,0.226095646619797,0.23187501728534698,1,0
29391359.png,0.164454504847527,0.18649236857891083,1,0
29391360.png,0.201172828674316,0.24368081986904144,1,0
29391361.png,0.155531853437424,0.20503930747509003,1,0
29391362.png,0.162196904420853,0.15792734920978546,1,0
29391363.png,0.127114281058311,0.14299610257148743,1,0
29391364.png,0.0932443514466286,0.16307634115219116,1,0
29391365.png,0.0309198666363955,0.19127961993217468,1,1
29391366.png,0.0520378686487675,0.21206797659397125,1,1
29391367.png,0.0470834784209728,0.09982332587242126,1,0
29391368.png,0.0111897392198443,0.014772571623325348,1,0
29391369.png,0.0200793333351612,0.09141954779624939,1,0
29391370.png,0.042110126465559,0.1279783695936203,1,0
29391371.png,0.0938214957714081,0.138605535030365,1,0
29391372.png,0.0319753848016262,0.15214814245700836,1,0
29391373.png,0.0268973652273417,0.14079758524894714,1,0
29391374.png,0.237659186124802,0.10352998971939087,1,1
29391375.png,0.185811966657639,0.08760112524032593,1,0
29391376.png,0.169874787330627,0.16327844560146332,1,0
29391377.png,0.137133732438087,0.14507953822612762,1,0
29391378.png,0.204584777355194,0.20441174507141113,1,0
29391379.png,0.213170737028122,0.1911889910697937,1,0
29391380.png,0.196495875716209,0.1903800517320633,1,0
29391381.png,0.276343137025833,0.1991412490606308,1,0
29391382.png,0.270207762718201,0.17958471179008484,1,0
29391383.png,0.334967464208603,0.24849776923656464,1,0
29391384.png,0.22411160171032,0.164793461561203,1,0
29391385.png,0.37091925740242,0.21907906234264374,1,1
29391386.png,0.322862863540649,0.2210470587015152,1,0
29391387.png,0.211811736226082,0.19737067818641663,1,0
29391388.png,0.214239731431007,0.2102978676557541,1,0
29391389.png,0.224965423345566,0.23804336786270142,1,0
29391390.png,0.213095739483833,0.18611855804920197,1,0
29391391.png,0.199589967727661,0.1902652531862259,1,0
29391392.png,0.167291134595871,0.1731838881969452,1,0
29391393.png,0.100409410893917,0.16632036864757538,1,0
29391394.png,0.139121413230896,0.2200194150209427,1,0
29391395.png,0.261240273714066,0.22908830642700195,1,0
29391396.png,0.423872321844101,0.26409342885017395,1,1
29391397.png,0.364663451910019,0.30331897735595703,1,0
29391398.png,0.264907449483871,0.16787196695804596,1,0
29391399.png,0.225126832723618,0.28843361139297485,1,0
29391400.png,0.204951286315918,0.24208052456378937,1,0
29391401.png,0.173060521483421,0.22089962661266327,1,0
29391402.png,0.192046731710434,0.2384999543428421,1,0
29391403.png,0.174554109573364,0.25329914689064026,1,0
29391404.png,0.0627534985542297,0.14131952822208405,1,0
29391405.png,0.159540504217148,0.2036323845386505,1,0
